sample.ID,date,day,day.number,sample.type,water.type,location,specific,source.ID,captive.wild,dead,age,clutch,mass,CL,CW,PL,PW,H,days.since.previous,mass.diff,CL.diff,CW.diff,PL.diff,PW.diff,H.diff,mass.diff.per.day,CL.diff.per.day,CW.diff.per.day,PL.diff.per.day,PW.diff.per.day,H.diff.per.day,mass.mean.diff.per.day,CL.mean.diff.per.day,CW.mean.diff.per.day,PL.mean.diff.per.day,PW.mean.diff.per.day,H.mean.diff.per.day,days.since.last.measure,shannon,simpson,rich,even,rich.rare.1000,rich.rare.10000,read.depth,date.sc,BCI,year,location.general,type.location.water.type,type.location.gen.water.type,read.depth.sc,specific.wild,specific.year
W22,2019-03-01,Friday,C1,water,tap,Cosley,tap,Cosley Tap (with date),captive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.606372985,0.596949696,25,0.499047827,24.41496758,24.96635195,21856,-0.422603205,NA,2019,Cosley,water Cosley tap,water Cosley tap,-0.696784328,tap,tap
W23,2019-03-07,Thursday,C7,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86494363,0.932633683,284,0.684185034,242.7320968,277.9726111,22839,-0.387796796,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.576717391,tub7,tub7
W24,2019-03-07,Thursday,C7,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.354091662,0.957788927,336,0.748497242,280.8788186,327.5617248,27325,-0.387796796,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.028782214,tub11,tub11
W25,2019-04-26,Friday,C1,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.694247398,0.979491159,334,0.807801326,294.8402795,329.2893911,25400,-0.097743393,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.263908209,tub7,tub7
W26,2019-04-26,Friday,C1,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.564776424,0.967701472,290,0.805092115,269.0049845,289.5394705,13834,-0.097743393,NA,2019,Cosley,water Cosley tub,water Cosley tub,-1.676618478,tub11,tub11
W27,2019-04-26,Friday,C1,water,tap,Cosley,tap,Cosley Tap (with date),captive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.306778409,0.841672379,39,0.629654591,35.54931283,38.65157434,21166,-0.097743393,NA,2019,Cosley,water Cosley tap,water Cosley tap,-0.781063257,tap,tap
W28,2019-05-02,Thursday,C7,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.574264776,0.888309109,301,0.626282761,251.938256,293.4336696,29245,-0.062936985,NA,2019,Cosley,water Cosley tub,water Cosley tub,0.205733065,tub7,tub7
W29,2019-05-02,Thursday,C7,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.132181253,0.940538035,322,0.71558479,269.3177406,313.5997582,26863,-0.062936985,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.085212453,tub11,tub11
W30,2019-06-06,Thursday,NA,water,marsh,PW,marsh1,PW marsh 1 water,wild,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.289129828,0.893356118,124,0.68235222,120.073219,123.9324102,13682,0.140100398,NA,2019,Wild,water PW marsh,water Wild marsh,-1.695184271,PW,2019
W31,2019-06-07,Friday,NA,water,marsh,TC,near.shooting.star.trail,near.shooting.star.trail,wild,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.494077708,0.928508527,130,0.717833175,126.6498677,129.9912413,14547,0.145901466,NA,2019,Wild,water TC marsh,water Wild marsh,-1.589530252,TC,2019
W32,2019-06-21,Friday,C1,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.567602559,0.972413889,329,0.788053321,291.5789046,324.1790436,25172,0.227116419,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.291756899,tub7,tub7
W33,2019-06-21,Friday,C1,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06957692,0.987024577,393,0.848633828,347.8340221,386.1173987,28670,0.227116419,NA,2019,Cosley,water Cosley tub,water Cosley tub,0.135500625,tub11,tub11
W34,2019-06-21,Friday,C1,water,tap,Cosley,tap,Cosley Tap (with date),captive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.113008482,0.409884008,22,0.360075443,21.4375301,21.99452768,22395,0.227116419,NA,2019,Cosley,water Cosley tap,water Cosley tap,-0.63094905,tap,tap
W35,2019-06-27,Thursday,C1,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.449592738,0.816976463,319,0.598348377,264.6436227,311.6981468,28193,0.261922827,NA,2019,Cosley,water Cosley tub,water Cosley tub,0.077238235,tub7,tub7
W36,2019-06-27,Thursday,C1,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.651102616,0.897539476,320,0.6329576,260.1848258,309.6177001,29373,0.261922827,NA,2019,Cosley,water Cosley tub,water Cosley tub,0.221367417,tub11,tub11
W40,2020-02-01,Saturday,un,water,tub,Shedd,tubAHHR2,Shedd tub AHHR2 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.811257002,0.980528778,305,0.841083002,280.0581721,303.3752175,17763,1.532356735,NA,2020,Shedd,water Shedd tub,water Shedd tub,-1.19671716,tubAHHR2,tubAHHR2
W41,2020-02-01,Saturday,un,water,tub,Shedd,tubAHHR3,Shedd tub AHHR3 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.022495188,0.986853803,366,0.850890595,328.044075,362.4248646,23415,1.532356735,NA,2020,Shedd,water Shedd tub,water Shedd tub,-0.506362808,tubAHHR3,tubAHHR3
W42,2020-02-01,Saturday,un,water,tub,Shedd,tubAHHR2,Shedd tub AHHR2 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.810709611,0.978664863,322,0.833088002,293.1230294,320.6421426,17478,1.532356735,NA,2020,Shedd,water Shedd tub,water Shedd tub,-1.231528022,tubAHHR2,tubAHHR2
W43,2020-02-01,Saturday,un,water,tub,Shedd,tubAHHR3,Shedd tub AHHR3 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.913904879,0.983384182,347,0.840080704,317.7539556,344.8361262,21168,1.532356735,NA,2020,Shedd,water Shedd tub,water Shedd tub,-0.78081897,tubAHHR3,tubAHHR3
W44,2020-02-29,Saturday,un,water,tub,Shedd,tubAHHR2,Shedd tub AHHR2 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.085115443,0.90636992,315,0.710137133,288.1143269,313.2928515,19049,1.694786641,NA,2020,Shedd,water Shedd tub,water Shedd tub,-1.03964078,tubAHHR2,tubAHHR2
W45,2020-02-29,Saturday,un,water,tub,Shedd,tubAHHR3,Shedd tub AHHR3 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47862833,0.960968098,314,0.778974118,290.0361729,312.4595715,20525,1.694786641,NA,2020,Shedd,water Shedd tub,water Shedd tub,-0.85935716,tubAHHR3,tubAHHR3
W46,2020-02-29,Saturday,un,water,tub,Shedd,tubAHHR2,Shedd tub AHHR2 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.920437648,0.977853923,389,0.825081275,349.8220444,385.1447461,26375,1.694786641,NA,2020,Shedd,water Shedd tub,water Shedd tub,-0.144818419,tubAHHR2,tubAHHR2
W47,2020-02-29,Saturday,un,water,tub,Shedd,tubAHHR3,Shedd tub AHHR3 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.814341064,0.973203982,350,0.821849778,321.6395678,348.4763544,19586,1.694786641,NA,2020,Shedd,water Shedd tub,water Shedd tub,-0.974049788,tubAHHR3,tubAHHR3
W50,2020-04-08,Wednesday,un,water,tub,Shedd,tubAHHR2,AHHR2 After,captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.587263703,0.95709851,358,0.780076179,322.0045818,354.5096482,23223,1.921028296,NA,2020,Shedd,water Shedd tub,water Shedd tub,-0.529814336,tubAHHR2,tubAHHR2
